Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Baroda BNP Paribas Dividend Yield Fund-Reg(G),Shiv Chanani,EQ-DIV,Unrated,958.3,2.15,Open Ended,11-Sep-24,NIFTY 500 - TRI,9.12,10.26,8.34,2.32,3.09,-3.81,-,-,-,-,-,83,54,164426,61.36,18.76,11.21,Financials,-,-,-,-,-,-,-,-,Equity : Thematic - Dividend Yield,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Baroda BNP Paribas Dynamic Bond Fund(G),Prashant Pimple,DT-DYN,2,164.3,1.69,Open Ended,23-Sep-04,CRISIL Dynamic Bond Index,46.06,46.12,41.55,2.15,3.81,5.63,11.23,8.44,7.87,5.77,6.68,0,-,-,-,-,-,-,17.85,8.38,6.69,-0.33,0.50,1.13,1.25,2.07,Debt : Dynamic Bond,Nil
Baroda BNP Paribas ELSS Tax Saver Fund-Reg(G),Sanjay Chawla,EQ-ELSS,2,866.4,2.20,Open Ended,05-Jan-06,NIFTY 500 - TRI,90.40,99.28,81.19,2.79,2.37,-3.56,6.53,24.21,16.89,20.38,12.16,78,51,153122,59.88,19.38,18.05,Financials,-,-,-,0.11,0.22,0.41,0.99,14.84,Equity : Tax Saving (ELSS),Nil
Baroda BNP Paribas Energy Opportunities Fund-Reg(G),Sanjay Chawla,EQ-POWER,Unrated,741.8,2.31,Open Ended,10-Feb-25,NIFTY ENERGY - TRI,10.89,11.02,9.72,2.25,-,-,-,-,-,-,-,2,28,153709,61.74,25.53,6.68,Energy,-,-,-,-,-,-,-,-,Equity : Sectoral - Energy / Power,1% if redeemed more than 10% of units on or before 1Y Nil thereafter
Baroda BNP Paribas Equity Savings Fund-Reg(G),Pratish Krishnan,HY-EQ,Unrated,248.9,2.48,Open Ended,25-Jul-19,NIFTY 50 Equity Savings Index - TRI,16.14,16.21,14.88,1.98,2.53,1.38,7.18,11.65,9.72,9.19,-,470,61,221898,51.34,9.41,6.42,Financials,4.21,3.24,6.97,0.04,0.25,0.51,0.97,5.50,Hybrid : Equity Oriented,1% on or before 30D Nil after 30D
Baroda BNP Paribas Flexi Cap Fund-Reg(G),Sanjay Chawla,EQ-FLEX,Unrated,1190.5,2.16,Open Ended,17-Aug-22,NIFTY 500 - TRI,14.67,16.64,13.18,3.09,2.55,-5.45,3.94,20.57,-,-,-,84,44,130961,47.85,35.59,13.4,Financials,-,-,-,-0.01,0.23,0.42,1.01,13.78,Equity : Flexi Cap,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Baroda BNP Paribas Focused Fund-Reg(G),Sanjay Chawla,EQ-FLEX,2,634.3,2.28,Open Ended,06-Oct-17,NIFTY 500 - TRI,21.17,23.97,18.44,5.28,4.32,-2.57,1.08,18.81,14.12,19.10,-,145,26,161918,63.81,23.09,10.02,Financials,-,-,-,-0.15,0.15,0.27,1.02,15.80,Equity : Flexi Cap,Nil upto 10% of units within 12M In excess of limit - 1% on or before 12M and Nil after 12M
Baroda BNP Paribas Gilt Fund-Reg(G),Gurvinder Singh Wasan,DT-GILT,Unrated,1626.6,0.45,Open Ended,21-Mar-02,CRISIL Dynamic Gilt Index,42.81,42.83,38.25,2.15,4.12,6.27,12.24,9.24,8.25,6.09,6.84,0,-,-,-,-,-,-,11.92,7.05,6.76,0.06,0.47,1.07,0.74,2.40,Debt : Gilt,Nil
Baroda BNP Paribas Gold ETF,Gurvinder Singh Wasan,GOLD-ETF,Unrated,87.6,0.48,Open Ended,13-Dec-23,Gold-India,91.80,96.27,67.36,5.74,15.42,17.66,29.87,-,-,-,-,5,-,-,-,-,-,-,-,-,-,2.45,0.58,1.57,-0.41,13.47,Gold : ETFs,null
Baroda BNP Paribas India Consumption Fund-Reg(G),Shiv Chanani,EQ-CONS,4,1369.3,2.10,Open Ended,10-Sep-18,Nifty India Consumption - TRI,30.28,35.27,27.54,3.97,1.94,-3.80,9.58,21.72,16.59,20.94,-,66,46,113739,56.48,25.77,11.92,FMCG,-,-,-,-0.04,0.25,0.45,0.92,14.30,Equity : Thematic - Consumption,Nil upto 10% of units and 1% for excess units on or before 12M Nil after 12M
Baroda BNP Paribas Innovation Fund-Reg(G),Pratish Krishnan,EQ-THEM,Unrated,973.6,2.14,Open Ended,05-Mar-24,NIFTY 500 - TRI,11.23,13.26,10.23,2.92,-1.63,-9.86,4.84,-,-,-,-,70,45,86754,41.04,29.2,25.04,Financials,-,-,-,0.06,0.09,0.14,1.20,19.10,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Baroda BNP Paribas Large & Mid Cap Fund-Reg(G),Sanjay Chawla,EQ-L&M,Unrated,1452.8,2.11,Open Ended,04-Sep-20,BSE 250 LargeMidCap Index - TRI,25.64,29.02,23.23,3.01,1.85,-4.89,5.38,23.69,17.70,-,-,83,44,127663,49.1,35.86,11.39,Financials,-,-,-,0.17,0.22,0.41,1.05,15.75,Equity : Large & Mid Cap,Nil upto 10% of units and 1% for remaining units on or before 365D Nil after 365D
Baroda BNP Paribas Large Cap Fund-Reg(G),Jitendra Sriram,EQ-LC,2,2432.0,2.01,Open Ended,23-Sep-04,NIFTY 100 - TRI,212.43,237.84,193.67,2.80,3.25,-3.59,4.82,20.61,16.29,20.18,12.47,67,51,352292,77.96,14.77,-,Financials,-,-,-,0.23,0.23,0.44,0.92,13.17,Equity : Large Cap,1% on or before 30D Nil after 30D
Baroda BNP Paribas Liquid Fund(G),Vikram Pamnani,DT-LIQ,2,7879.6,0.31,Open Ended,05-Feb-09,CRISIL Liquid Debt Index,2972.24,2972.24,2773.02,0.57,1.78,3.55,7.21,7.20,6.81,5.42,6.29,0,-,-,-,-,-,-,0.16,0.16,7.10,-0.02,2.57,0.96,1.08,0.29,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Baroda BNP Paribas Low Duration Fund(G),Vikram Pamnani,DT-LOWD,3,273.8,1.10,Open Ended,21-Oct-05,CRISIL Low Duration Debt Index,39.68,39.68,36.93,0.93,2.21,3.80,7.45,7.10,6.40,5.69,6.46,0,-,-,-,-,-,-,0.98,0.88,7.41,-0.23,0.88,0.80,1.32,0.73,Debt : Low Duration,Nil
Baroda BNP Paribas Manufacturing Fund-Reg(G),Jitendra Sriram,EQ-THEM,Unrated,1229.0,2.10,Open Ended,28-Jun-24,Nifty India Manufacturing - TRI,8.96,10.42,8.07,2.62,2.03,-7.13,-,-,-,-,-,50,50,89690,46.79,23.86,22.15,Automobile and Ancillaries,-,-,-,-,-,-,-,-,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Baroda BNP Paribas Mid Cap Fund-Reg(G),Shiv Chanani,EQ-MID,4,1981.7,1.99,Open Ended,02-May-06,Nifty Midcap 150 - TRI,93.81,107.00,86.55,2.49,1.01,-6.68,4.92,24.62,17.54,26.98,15.06,92,64,46902,10.68,71.56,12.13,Financials,-,-,-,-0.11,0.24,0.43,0.85,15.20,Equity : Mid Cap,Nil upto 10% of Units within 12M 1% exceding 10% of Units within 12M Nil after 12M
Baroda BNP Paribas Money Market Fund-Reg(G),Vikram Pamnani,DT-MM,Unrated,1219.2,0.43,Open Ended,19-Jun-19,CRISIL Money Market Index,1364.50,1364.50,1266.58,0.87,2.27,4.03,7.74,7.38,6.70,5.24,-,0,-,-,-,-,-,-,0.78,0.78,7.28,0.10,1.35,0.93,0.55,0.54,Debt : Money Market,Nil
Baroda BNP Paribas Multi Asset Fund-Reg(G),Jitendra Sriram,HY-MULTI,Unrated,1136.2,2.10,Open Ended,19-Dec-22,NIFTY 500 - TRI,14.35,15.06,12.93,2.98,4.86,-0.30,8.46,18.92,-,-,-,54,37,371674,53.92,14.74,0.42,Financials,3.35,2.72,7.17,0.30,0.38,0.80,0.63,8.94,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Baroda BNP Paribas Multi Cap Fund-Reg(G),Sanjay Chawla,EQ-MLC,4,2616.4,1.99,Open Ended,12-Sep-03,Nifty500 Multicap 50:25:25 - TRI,268.27,305.13,245.38,2.16,-0.33,-6.67,4.48,24.05,17.21,25.69,13.41,122,63,92215,40.26,29.19,25.39,Financials,-,-,-,0.03,0.22,0.37,0.96,15.67,Equity : Multi Cap,1% on or before 365D Nil after 365D
Baroda BNP Paribas Nifty 50 Index Fund-Reg(G),Neeraj Saxena,EQ-INDX,Unrated,64.9,0.56,Open Ended,29-Jan-24,NIFTY 50 - TRI,11.28,12.14,10.11,3.42,4.68,-0.07,8.32,-,-,-,-,96,50,540770,99.28,0.84,-,Financials,-,-,-,-0.05,0.09,0.16,1.00,11.50,Equity : Index Funds,0.20% on or before 30D Nil after 30D
Baroda BNP Paribas NIFTY Bank ETF,Neeraj Saxena,EQ-ETF,Unrated,4.3,0.15,Open Ended,18-Jun-24,NIFTY BANK - TRI,55.01,55.54,47.79,6.81,11.60,6.23,-,-,-,-,-,210,12,502086,84.89,14.94,-,Financials,-,-,-,-,-,-,-,-,Equity : ETFs,null
Baroda BNP Paribas NIFTY Midcap 150 Index Fund-Reg(G),Neeraj Saxena,EQ-INDX,Unrated,8.2,1.09,Open Ended,04-Nov-24,Nifty Midcap 150 - TRI,9.47,10.53,8.54,3.88,1.75,-,-,-,-,-,-,59,151,54767,8.72,86.77,3.61,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,0.20% on or before 7D Nil after 7D
Baroda BNP Paribas NIFTY SDL Dec 2026 Index Fund-Reg(G),Gurvinder Singh Wasan,DT-M&LD,Unrated,120.7,0.49,Open Ended,25-Jan-23,NIFTY SDL December 2026 Index,11.83,11.83,10.88,1.17,2.50,4.23,8.78,7.64,-,-,-,0,-,-,-,-,-,-,1.70,1.55,6.66,-0.16,1.01,1.22,1.75,1.02,Debt : Medium to Long Duration,Nil
Baroda BNP Paribas NIFTY SDL Dec 2028 Index Fund-Reg(G),Gurvinder Singh Wasan,DT-M&LD,Unrated,27.7,0.49,Open Ended,24-Mar-23,Nifty SDL Dec 2028 Index,11.98,11.98,10.84,2.12,3.46,5.27,10.65,8.44,-,-,-,0,-,-,-,-,-,-,3.60,3.02,6.84,-0.43,0.83,1.41,2.96,1.50,Debt : Medium to Long Duration,Nil
Baroda BNP Paribas Nifty200 Momentum 30 Index Fund-Reg(G),Neeraj Saxena,EQ-INDX,Unrated,22.9,1.13,Open Ended,15-Oct-24,Nifty200 Momentum 30 - TRI,7.74,10.00,6.91,3.74,-0.09,-16.02,-,-,-,-,-,132,30,163612,74.87,24.92,-,Technology,-,-,-,-,-,-,-,-,Equity : Index Funds,0.20% on or before 7D Nil after 7D
Baroda BNP Paribas Overnight Fund-Reg(G),Vikram Pamnani,DT-ON,4,581.8,0.17,Open Ended,25-Apr-19,CRISIL Liquid Overnight Index,1342.76,1342.76,1260.95,0.48,1.49,3.15,6.51,6.61,6.29,5.02,-,0,-,-,-,-,-,-,0.01,0.01,7.20,-0.02,2.89,0.90,0.95,0.21,Debt : Overnight,Nil
Baroda BNP Paribas Retirement Fund-Reg(G),Pratish Krishnan,HY-SOL,Unrated,355.5,2.27,Open Ended,28-May-24,CRISIL Hybrid 35+65 - Aggressive Index,10.68,11.30,9.72,3.20,2.57,-1.14,-,-,-,-,-,81,58,161583,47,16.18,9.73,Financials,26.38,9.39,7.09,-,-,-,-,-,Hybrid : Solution Oriented,Nil
Baroda BNP Paribas Short Duration Fund-Reg(G),Gurvinder Singh Wasan,DT-SD,2,204.4,1.05,Open Ended,30-Jun-10,CRISIL Short Duration Debt Index,29.00,29.00,26.58,1.55,3.03,4.73,9.18,7.85,6.90,6.22,7.09,0,-,-,-,-,-,-,3.29,2.70,7.35,-0.06,0.56,0.77,1.45,1.35,Debt : Short Duration,Nil
Baroda BNP Paribas Small Cap Fund-Reg(G),Shiv Chanani,EQ-SML,Unrated,1192.8,2.19,Open Ended,30-Oct-23,Nifty Smallcap 250 - TRI,11.92,14.49,10.81,1.90,-1.29,-11.38,-3.80,-,-,-,-,75,61,18135,2.65,16.05,71.53,Capital Goods,-,-,-,-0.16,0.13,0.21,0.88,19.90,Equity : Small Cap,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Baroda BNP Paribas Ultra Short Duration Fund-Reg(G),Vikram Pamnani,DT-USD,3,1073.0,0.48,Open Ended,01-Jun-18,CRISIL Ultra Short Term Debt Index,1525.41,1525.41,1417.68,0.77,2.07,3.82,7.62,7.46,6.97,5.80,-,0,-,-,-,-,-,-,0.54,0.51,7.24,-0.10,1.69,0.96,1.11,0.48,Debt : Ultra Short Duration,Nil
Baroda BNP Paribas Value Fund-Reg(G),Shiv Chanani,EQ-VAL,Unrated,1310.6,2.19,Open Ended,07-Jun-23,NIFTY 500 - TRI,13.42,15.45,12.34,1.75,1.83,-6.22,-0.69,-,-,-,-,70,51,174496,61.99,20.69,11.98,Financials,-,-,-,-0.09,0.25,0.51,0.99,14.31,Equity : Value / Contra,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Bharat 22 ETF,Nishit Patel,EQ-ETF,Unrated,17930.3,0.07,Open Ended,24-Nov-17,BSE Bharat 22 Index - TRI,106.11,120.87,94.57,1.35,3.79,-5.82,-0.99,29.72,29.04,33.58,-,10,22,282995,92.24,7.2,0.54,Energy,-,-,-,2.63,0.38,0.79,0.99,16.85,Equity : ETFs,Nil
BHARAT Bond ETF - April 2025,Dhawal Dalal,DT-ETF,Unrated,9793.9,0.01,Open Ended,27-Jul-20,NIFTY BHARAT Bond Index - April 2025,1292.61,1292.61,1205.48,0.65,1.82,3.67,7.56,7.44,6.36,-,-,0,-,-,-,-,-,-,0.02,0.02,7.03,0.05,0.35,0.50,0.39,1.64,Debt : ETFs,null
BHARAT Bond ETF - April 2030,Dhawal Dalal,DT-ETF,Unrated,18680.6,0.01,Open Ended,30-Dec-19,NIFTY BHARAT Bond Index - April 2030,1499.90,1499.97,1356.03,1.61,3.37,5.17,10.57,8.62,8.00,7.60,-,0,-,-,-,-,-,-,4.64,3.72,7.07,0.03,0.42,0.71,0.77,2.52,Debt : ETFs,null
BHARAT Bond ETF - April 2031,Dhawal Dalal,DT-ETF,Unrated,12876.6,0.01,Open Ended,27-Jul-20,NIFTY BHARAT Bond Index - April 2031,1344.49,1344.49,1213.07,1.72,3.58,5.14,10.82,8.85,8.10,-,-,0,-,-,-,-,-,-,5.88,4.51,7.09,-,0.37,0.63,0.86,2.88,Debt : ETFs,null
BHARAT Bond ETF - April 2032,Dhawal Dalal,DT-ETF,Unrated,10720.8,0.01,Open Ended,13-Dec-21,NIFTY BHARAT Bond Index - April 2032,1266.61,1266.61,1137.46,1.98,3.53,5.27,11.40,9.12,8.25,-,-,0,-,-,-,-,-,-,6.91,5.19,7.11,-0.01,0.37,0.61,0.92,3.04,Debt : ETFs,null
BHARAT Bond ETF - April 2033,Dhawal Dalal,DT-ETF,Unrated,6200.2,0.01,Open Ended,13-Dec-22,NIFTY BHARAT Bond Index - April 2033,1234.01,1234.01,1106.86,2.03,3.61,5.57,11.58,9.32,-,-,-,0,-,-,-,-,-,-,7.79,5.67,7.04,0.06,0.66,1.44,0.80,2.17,Debt : ETFs,null
BHARAT Bond ETF FOF - April 2032 -Reg(G),Rahul Dedhia,FOF-DOM,Unrated,4484.3,0.08,Open Ended,15-Dec-21,NIFTY BHARAT Bond Index - April 2032,12.65,12.65,11.34,2.24,3.68,5.29,11.69,9.01,8.18,-,-,0,-,-,-,-,-,-,6.89,5.17,7.10,-0.02,0.34,0.58,0.88,3.13,FoFs : Domestic,0.10% on or before 30D Nil after 30D
BHARAT Bond ETF FOF - April 2033 -Reg(G),Rahul Dedhia,FOF-DOM,Unrated,2349.0,0.09,Open Ended,14-Dec-22,NIFTY BHARAT Bond Index - April 2033,12.39,12.39,11.13,2.31,3.69,5.81,11.57,9.33,-,-,-,0,-,-,-,-,-,-,7.71,5.61,7.02,0.06,0.56,1.21,0.75,2.48,FoFs : Domestic,0.10% on or before 30D Nil after 30D
BHARAT Bond FOF - April 2025 -Reg(G),Rahul Dedhia,FOF-DOM,Unrated,4072.1,0.08,Open Ended,23-Jul-20,NIFTY BHARAT Bond Index - April 2025,12.89,12.89,12.02,0.67,2.15,3.66,7.55,7.34,6.32,-,-,0,-,-,-,-,-,-,0.02,0.02,7.02,0.02,0.30,0.42,0.41,1.77,FoFs : Domestic,0.10% on or before 30D Nil after 30D
BHARAT Bond FOF - April 2030 -Reg(G),Rahul Dedhia,FOF-DOM,Unrated,7014.6,0.08,Open Ended,30-Dec-19,NIFTY BHARAT Bond Index - April 2030,14.98,14.99,13.53,1.99,3.65,5.42,10.99,8.59,8.03,7.59,-,0,-,-,-,-,-,-,4.62,3.71,7.07,-0.01,0.35,0.66,0.79,2.82,FoFs : Domestic,0.10% on or before 30D Nil after 30D
BHARAT Bond FOF - April 2031 -Reg(G),Rahul Dedhia,FOF-DOM,Unrated,4772.9,0.08,Open Ended,23-Jul-20,NIFTY BHARAT Bond Index - April 2031,13.41,13.41,12.10,2.01,3.57,5.19,11.14,8.69,8.01,-,-,0,-,-,-,-,-,-,5.85,4.49,7.08,-0.03,0.33,0.60,0.86,3.00,FoFs : Domestic,0.10% on or before 30D Nil after 30D
Canara Rob Balanced Advantage Fund-Reg(G),Shridatta Bhandwaldar,HY-DYN,Unrated,1436.3,2.11,Open Ended,02-Aug-24,CRISIL Hybrid 50+50 - Moderate Index,9.93,10.50,9.29,2.16,2.58,-1.78,-,-,-,-,-,0,68,198037,51.69,6.36,10.66,Financials,4.63,2.91,7.10,-,-,-,-,-,Hybrid : Dynamic Asset Allocation,Nil upto 12% of units and 1% for remaining units on or before 365D Nil after 365D
Canara Rob Banking and PSU Debt Fund-Reg(G),Suman Prasad,DT-B&PSU,Unrated,225.5,0.71,Open Ended,22-Aug-22,CRISIL Banking and PSU Debt Index,11.99,11.99,11.04,1.33,2.76,4.38,8.74,7.42,-,-,-,0,-,-,-,-,-,-,3.46,2.49,7.21,-0.07,0.75,1.00,0.89,1.09,Debt : Banking & PSU,Nil
Canara Rob Bluechip Equity Fund-Reg(G),Shridatta Bhandwaldar,EQ-LC,5,14965.3,1.67,Open Ended,20-Aug-10,BSE 100 - TRI,60.96,65.27,53.63,3.39,4.53,0.23,10.90,20.12,15.41,20.20,13.48,24,59,399210,90.98,5.14,-,Financials,2.75,2.05,4.40,0.10,0.22,0.43,0.92,12.63,Equity : Large Cap,1% on or before 1Y Nil after 1Y
Canara Rob Conservative Hybrid Fund-Reg(G),Avnish Jain,HY-DT(CO),4,935.5,1.84,Open Ended,31-Mar-96,CRISIL Hybrid 85+15 - Conservative Index,95.17,95.51,86.91,1.53,3.02,2.25,9.00,9.98,8.28,9.58,7.91,146,44,151972,15.02,3.91,4.79,Financials,11.09,5.08,7.15,-0.07,0.27,0.56,1.04,3.97,Hybrid : Debt Oriented (Conservative),Nil upto 10% of units on or before 1Y 1% for more than 10% of units on or before 1Y Nil after 1Y
Canara Rob Consumer Trends Fund-Reg(G),Ennettee Fernandes,EQ-CONS,4,1695.1,2.10,Open Ended,14-Sep-09,BSE 100 - TRI,104.70,119.76,95.00,4.19,3.62,-4.35,6.31,21.75,17.59,22.83,15.51,21,45,127078,56.36,20.25,18.62,Financials,0.01,-,-,0.31,0.25,0.48,0.97,14.67,Equity : Thematic - Consumption,1% on or before 1Y Nil after 1Y
Canara Rob Corp Bond Fund-Reg(G),Avnish Jain,DT-CORP,2,118.8,1.03,Open Ended,07-Feb-14,CRISIL Corporate Bond Index,21.63,21.63,19.93,1.29,2.84,4.35,8.63,7.33,6.38,5.86,6.63,0,-,-,-,-,-,-,6.90,3.68,7.18,0.06,0.53,0.79,0.34,1.20,Debt : Corporate Bond,Nil
Canara Rob Dynamic Bond Fund-Reg(G),Kunal Jain,DT-DYN,2,125.0,1.75,Open Ended,29-May-09,CRISIL Dynamic Bond Index,29.76,29.80,26.98,2.17,4.13,5.38,10.49,7.78,6.99,5.38,6.51,0,-,-,-,-,-,-,24.00,10.30,6.92,-0.57,0.33,0.80,1.62,2.46,Debt : Dynamic Bond,Nil
Canara Rob ELSS Tax Saver-Reg(G),Vishal Mishra,EQ-ELSS,4,8277.1,1.70,Open Ended,02-Feb-09,BSE 500 - TRI,166.11,184.92,150.54,3.08,2.54,-4.27,6.99,19.03,14.58,22.08,13.87,29,68,223227,71.36,15.86,8.52,Financials,0.01,-,-,-0.01,0.19,0.37,0.94,13.87,Equity : Tax Saving (ELSS),Nil
Canara Rob Emerg Equities Fund-Reg(G),Amit Nadekar,EQ-L&M,4,23163.3,1.62,Open Ended,11-Mar-05,NIFTY LargeMidcap 250 - TRI,241.03,266.88,214.61,3.33,3.30,-2.65,9.99,22.26,15.75,23.34,15.59,60,103,93025,52.87,29.77,14.91,Financials,0.01,-,-,-0.08,0.21,0.38,0.95,14.91,Equity : Large & Mid Cap,1% on or before 1Y Nil after 1Y
Canara Rob Equity Hybrid Fund-Reg(G),Ennettee Fernandes,HY-EQ,4,10371.7,1.74,Open Ended,01-Feb-93,CRISIL Hybrid 35+65 - Aggressive Index,345.48,366.10,310.90,2.94,3.58,-1.23,8.83,17.22,13.28,17.16,12.14,61,64,210451,52.38,12.33,6.39,Financials,7.47,3.67,7.17,-0.02,0.21,0.42,1.08,10.63,Hybrid : Equity Oriented,Nil upto 10% of units on or before 1Y 1% for more than 10% of units on or before 1Y Nil after 1Y
Canara Rob Flexi Cap Fund-Reg(G),Shridatta Bhandwaldar,EQ-FLEX,4,12194.0,1.70,Open Ended,16-Sep-03,BSE 500 - TRI,320.03,352.91,288.69,3.37,3.63,-2.51,8.26,19.05,14.06,20.43,13.07,30,70,246107,74.81,15.82,5.85,Financials,0.01,-,-,-0.05,0.18,0.34,0.92,13.65,Equity : Flexi Cap,1% on or before 1Y Nil after 1Y
Canara Rob Focused Equity Fund-Reg(G),Shridatta Bhandwaldar,EQ-MLC,Unrated,2458.9,1.97,Open Ended,17-May-21,BSE 500 - TRI,18.64,20.51,16.34,1.80,2.87,-2.66,10.02,21.69,17.11,-,-,48,29,293843,78.88,11.02,4.47,Financials,-,-,-,0.20,0.24,0.46,0.92,13.85,Equity : Multi Cap,1% on or before 365D Nil after 365D
Canara Rob Gilt Fund-Reg(G),Kunal Jain,DT-GILT,Unrated,133.2,1.25,Open Ended,29-Dec-99,CRISIL Dynamic Gilt Index,76.55,76.65,68.83,2.24,4.31,5.63,11.54,8.63,7.62,5.92,7.33,0,-,-,-,-,-,-,26.32,10.80,6.94,0.01,0.38,0.89,0.76,2.59,Debt : Gilt,Nil
Canara Rob Income Fund-Reg(G),Avnish Jain,DT-M&LD,3,119.2,1.88,Open Ended,19-Sep-02,CRISIL Medium to Long Term Debt Index,55.55,55.57,50.77,1.56,3.20,4.60,9.71,7.14,6.45,5.40,6.49,0,-,-,-,-,-,-,11.69,5.51,6.96,-0.06,0.31,0.65,0.70,2.16,Debt : Medium to Long Duration,Nil
Canara Rob Infrastructure Fund-Reg(G),Vishal Mishra,EQ-INFRA,3,815.6,2.32,Open Ended,02-Dec-05,BSE India Infrastructure Index - TRI,147.32,169.88,129.65,1.98,3.21,-6.53,6.30,31.19,25.56,31.94,15.05,37,48,113976,59.32,21.11,14.95,Capital Goods,0.01,-,-,2.62,0.31,0.61,0.70,18.70,Equity : Sectoral - Infrastructure,1% on or before 1Y Nil after 1Y
Canara Rob Liquid Fund-Reg(G),Kunal Jain,DT-LIQ,1,4032.1,0.19,Open Ended,15-Jul-08,CRISIL Liquid Debt Index,3111.13,3111.13,2899.92,0.60,1.83,3.61,7.31,7.28,6.86,5.40,6.16,0,-,-,-,-,-,-,0.20,0.19,7.10,-0.02,2.55,0.96,1.10,0.30,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Canara Rob Manufacturing Fund-Reg(G),Pranav Gokhale,EQ-THEM,Unrated,1511.3,2.12,Open Ended,11-Mar-24,Nifty India Manufacturing - TRI,11.15,13.33,10.04,2.57,-0.45,-9.05,3.52,-,-,-,-,21,62,81242,51.83,21.3,23.61,Capital Goods,-,-,-,-0.02,0.08,0.15,1.14,21.20,Equity : Thematic,1% on or before 365D Nil after 365D
Canara Rob Mid Cap Fund-Reg(G),Pranav Gokhale,EQ-MID,Unrated,2608.4,1.97,Open Ended,02-Dec-22,BSE 150 MidCap - TRI,15.23,17.74,13.89,3.02,1.46,-6.75,5.72,23.13,-,-,-,70,58,64698,22.6,66.03,6.57,Financials,-,-,-,-0.18,0.29,0.53,0.91,15.37,Equity : Mid Cap,1% on or before 365D Nil after 365D
Canara Rob Multi Cap Fund-Reg(G),Shridatta Bhandwaldar,EQ-MLC,Unrated,3839.2,1.87,Open Ended,28-Jul-23,Nifty500 Multicap 50:25:25 - TRI,13.39,15.01,12.09,2.99,1.74,-4.89,7.96,-,-,-,-,42,94,96627,46.59,27.6,23.52,Financials,-,-,-,0.08,0.27,0.49,0.91,14.49,Equity : Multi Cap,1% on or before 365D Nil after 365D
Canara Rob Overnight Fund-Reg(G),Suman Prasad,DT-ON,3,348.5,0.11,Open Ended,24-Jul-19,CRISIL Liquid Overnight Index,1324.36,1324.36,1244.30,0.47,1.47,3.12,6.45,6.57,6.27,5.02,-,0,-,-,-,-,-,-,0.02,0.02,6.58,-0.02,2.94,0.88,0.95,0.20,Debt : Overnight,Nil
Canara Rob Savings Fund-Reg(G),Kunal Jain,DT-LOWD,2,992.0,0.63,Open Ended,04-Mar-05,CRISIL Low Duration Debt Index,41.70,41.70,38.70,0.97,2.30,3.94,7.78,7.42,6.72,5.73,6.64,0,-,-,-,-,-,-,0.95,0.84,7.24,-0.22,1.13,0.93,1.35,0.65,Debt : Low Duration,Nil
Canara Rob Short Duration Fund-Reg(G),Suman Prasad,DT-SD,2,334.0,1.02,Open Ended,25-Apr-11,CRISIL Short Duration Debt Index,25.21,25.21,23.25,1.29,2.73,4.40,8.52,7.28,6.37,5.82,6.59,0,-,-,-,-,-,-,3.17,2.47,7.12,0.07,0.57,0.78,0.32,1.11,Debt : Short Duration,Nil
Canara Rob Small Cap Fund-Reg(G),Pranav Gokhale,EQ-SML,4,11087.4,1.71,Open Ended,15-Feb-19,Nifty Smallcap 250 - TRI,35.28,42.35,32.19,2.50,-1.75,-12.04,0.77,20.07,13.61,33.21,-,27,98,25205,14.28,19.5,62.12,Financials,-,-,-,-0.16,0.16,0.27,0.81,17.18,Equity : Small Cap,1% on or before 1Y Nil after 1Y
Canara Rob Ultra Short Term Fund-Reg(G),Kunal Jain,DT-USD,2,514.2,0.95,Open Ended,11-Jul-08,CRISIL Ultra Short Term Debt Index,3761.09,3761.09,3514.55,0.76,2.00,3.58,7.04,6.78,6.20,5.01,5.77,0,-,-,-,-,-,-,0.62,0.50,7.22,-0.21,1.28,0.82,1.25,0.47,Debt : Ultra Short Duration,Nil
